Date,Description,Amount,Transaction Type,Category,Account Name,Month
2018-02-11 00:00:00,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card,2018-02
2018-02-12 00:00:00,Shell,36.47,debit,Gas & Fuel,Silver Card,2018-02
2018-02-12 00:00:00,Phone Company,89.52,debit,Mobile Phone,Checking,2018-02
2018-02-14 00:00:00,Brewing Company,14,debit,Alcohol & Bars,Silver Card,2018-02
2018-02-15 00:00:00,American Tavern,10,debit,Restaurants,Platinum Card,2018-02
2018-02-15 00:00:00,Power Company,60,debit,Utilities,Checking,2018-02
2018-02-16 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-02
2018-02-16 00:00:00,Brunch Restaurant,8,debit,Restaurants,Silver Card,2018-02
2018-02-16 00:00:00,City Water Charges,35,debit,Utilities,Checking,2018-02
2018-02-20 00:00:00,Grocery Store,35.95,debit,Groceries,Silver Card,2018-02
2018-02-20 00:00:00,Mexican Restaurant,23.51,debit,Restaurants,Silver Card,2018-02
2018-02-21 00:00:00,Starbucks,2,debit,Coffee Shops,Platinum Card,2018-02
2018-02-22 00:00:00,Starbucks,4,debit,Coffee Shops,Silver Card,2018-02
2018-02-26 00:00:00,Credit Card Payment,765.37,credit,Credit Card Payment,Platinum Card,2018-02
2018-02-26 00:00:00,Credit Card Payment,156.11,credit,Credit Card Payment,Silver Card,2018-02
2018-02-26 00:00:00,Credit Card Payment,765.37,debit,Credit Card Payment,Checking,2018-02
2018-02-26 00:00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-02
2018-02-26 00:00:00,American Tavern,85.52,debit,Restaurants,Silver Card,2018-02
2018-02-26 00:00:00,Gas Station,32.21,debit,Gas & Fuel,Silver Card,2018-02
2018-02-27 00:00:00,Credit Card Payment,156.11,debit,Credit Card Payment,Checking,2018-02
2018-03-01 00:00:00,Grocery Store,32.07,debit,Groceries,Silver Card,2018-03
2018-03-01 00:00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-03
2018-03-02 00:00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-03
2018-03-02 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-03
2018-03-03 00:00:00,Grocery Store,23.74,debit,Groceries,Silver Card,2018-03
2018-03-04 00:00:00,Grocery Store,10.69,debit,Groceries,Platinum Card,2018-03
2018-03-04 00:00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-03
2018-03-04 00:00:00,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card,2018-03
2018-03-05 00:00:00,Starbucks,3,debit,Coffee Shops,Platinum Card,2018-03
2018-03-05 00:00:00,Credit Card Payment,761.59,credit,Credit Card Payment,Silver Card,2018-03
2018-03-05 00:00:00,Credit Card Payment,761.59,debit,Credit Card Payment,Checking,2018-03
2018-03-07 00:00:00,Starbucks,3.5,debit,Coffee Shops,Platinum Card,2018-03
2018-03-08 00:00:00,BP,34.9,debit,Gas & Fuel,Platinum Card,2018-03
2018-03-08 00:00:00,Gas Company,52,debit,Utilities,Checking,2018-03
2018-03-09 00:00:00,Grocery Store,20.72,debit,Groceries,Platinum Card,2018-03
2018-03-09 00:00:00,Grocery Store,5.09,debit,Groceries,Platinum Card,2018-03
2018-03-09 00:00:00,Spotify,10.69,debit,Music,Platinum Card,2018-03
2018-03-12 00:00:00,Grocery Store,19.35,debit,Groceries,Platinum Card,2018-03
2018-03-12 00:00:00,Phone Company,89.52,debit,Mobile Phone,Checking,2018-03
2018-03-13 00:00:00,Amazon,45.75,debit,Shopping,Platinum Card,2018-03
2018-03-14 00:00:00,Grocery Store,22.5,debit,Groceries,Platinum Card,2018-03
2018-03-14 00:00:00,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card,2018-03
2018-03-15 00:00:00,Starbucks,3.5,debit,Coffee Shops,Platinum Card,2018-03
2018-03-15 00:00:00,Power Company,60,debit,Utilities,Checking,2018-03
2018-03-16 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-03
2018-03-17 00:00:00,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card,2018-03
2018-03-17 00:00:00,Pizza Place,23.34,debit,Fast Food,Platinum Card,2018-03
2018-03-19 00:00:00,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card,2018-03
2018-03-19 00:00:00,City Water Charges,35,debit,Utilities,Checking,2018-03
2018-03-20 00:00:00,Amazon,14.97,debit,Shopping,Platinum Card,2018-03
2018-03-22 00:00:00,BP,30.55,debit,Gas & Fuel,Silver Card,2018-03
2018-03-23 00:00:00,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card,2018-03
2018-03-23 00:00:00,Credit Card Payment,559.91,debit,Credit Card Payment,Checking,2018-03
2018-03-23 00:00:00,Grocery Store,11.76,debit,Groceries,Silver Card,2018-03
2018-03-26 00:00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-03
2018-03-28 00:00:00,Grocery Store,16.06,debit,Groceries,Silver Card,2018-03
2018-03-28 00:00:00,Pizza Place,24.98,debit,Restaurants,Silver Card,2018-03
2018-03-29 00:00:00,Steakhouse,17.64,debit,Restaurants,Silver Card,2018-03
2018-03-30 00:00:00,Grocery Store,9.09,debit,Groceries,Silver Card,2018-03
2018-03-30 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-03
2018-03-31 00:00:00,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card,2018-03
2018-03-31 00:00:00,Chili's,24.74,debit,Restaurants,Platinum Card,2018-03
2018-03-31 00:00:00,Greek Restaurant,41.16,debit,Restaurants,Silver Card,2018-03
2018-04-01 00:00:00,Grocery Store,80.79,debit,Groceries,Platinum Card,2018-04
2018-04-01 00:00:00,Brewing Company,59.48,debit,Restaurants,Platinum Card,2018-04
2018-04-01 00:00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-04
2018-04-02 00:00:00,Credit Card Payment,817.14,credit,Credit Card Payment,Silver Card,2018-04
2018-04-02 00:00:00,Credit Card Payment,817.14,debit,Credit Card Payment,Checking,2018-04
2018-04-02 00:00:00,Grocery Store,82.36,debit,Groceries,Platinum Card,2018-04
2018-04-02 00:00:00,Hardware Store,13.89,debit,Home Improvement,Platinum Card,2018-04
2018-04-02 00:00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-04
2018-04-03 00:00:00,Amazon Video,6.41,debit,Movies & Dvds,Platinum Card,2018-04
2018-04-04 00:00:00,Credit Card Payment,363.08,credit,Credit Card Payment,Platinum Card,2018-04
2018-04-04 00:00:00,Credit Card Payment,363.08,debit,Credit Card Payment,Checking,2018-04
2018-04-04 00:00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-04
2018-04-06 00:00:00,Chevron,4.58,debit,Gas & Fuel,Platinum Card,2018-04
2018-04-06 00:00:00,Tiny Deli,9.76,debit,Restaurants,Platinum Card,2018-04
2018-04-08 00:00:00,Irish Pub,22,debit,Restaurants,Platinum Card,2018-04
2018-04-09 00:00:00,Blue Sky Market,6.48,debit,Groceries,Silver Card,2018-04
2018-04-09 00:00:00,Spotify,10.69,debit,Music,Platinum Card,2018-04
2018-04-09 00:00:00,Gas Company,30,debit,Utilities,Checking,2018-04
2018-04-11 00:00:00,Phone Company,89.52,debit,Mobile Phone,Checking,2018-04
2018-04-12 00:00:00,Starbucks,7,debit,Coffee Shops,Platinum Card,2018-04
2018-04-12 00:00:00,Barbershop,30,debit,Haircut,Platinum Card,2018-04
2018-04-13 00:00:00,BP,37.98,debit,Gas & Fuel,Platinum Card,2018-04
2018-04-13 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-04
2018-04-13 00:00:00,American Tavern,10.66,debit,Restaurants,Platinum Card,2018-04
2018-04-14 00:00:00,Hardware Store,11.61,debit,Home Improvement,Platinum Card,2018-04
2018-04-14 00:00:00,American Tavern,41,debit,Restaurants,Platinum Card,2018-04
2018-04-16 00:00:00,State Farm,75,debit,Auto Insurance,Checking,2018-04
2018-04-16 00:00:00,City Water Charges,35,debit,Utilities,Checking,2018-04
2018-04-18 00:00:00,Power Company,60,debit,Utilities,Checking,2018-04
2018-04-20 00:00:00,Thai Restaurant,24.22,debit,Restaurants,Silver Card,2018-04
2018-04-21 00:00:00,Grocery Store,4.32,debit,Groceries,Silver Card,2018-04
2018-04-21 00:00:00,American Tavern,35.15,debit,Restaurants,Silver Card,2018-04
2018-04-22 00:00:00,Grocery Store,21.32,debit,Groceries,Platinum Card,2018-04
2018-04-23 00:00:00,Hardware Store,42.7,debit,Home Improvement,Silver Card,2018-04
2018-04-24 00:00:00,Hardware Store,224.7,debit,Home Improvement,Platinum Card,2018-04
2018-04-24 00:00:00,Amazon,41.34,debit,Shopping,Platinum Card,2018-04
2018-04-25 00:00:00,Hardware Store,210.79,debit,Home Improvement,Silver Card,2018-04
2018-04-25 00:00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-04
2018-04-26 00:00:00,Credit Card Payment,769.72,credit,Credit Card Payment,Silver Card,2018-04
2018-04-26 00:00:00,Credit Card Payment,1216.94,credit,Credit Card Payment,Platinum Card,2018-04
2018-04-26 00:00:00,Credit Card Payment,1216.94,debit,Credit Card Payment,Checking,2018-04
2018-04-27 00:00:00,Credit Card Payment,769.72,debit,Credit Card Payment,Checking,2018-04
2018-04-27 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-04
2018-04-28 00:00:00,Grocery Store,22.98,debit,Groceries,Silver Card,2018-04
2018-04-29 00:00:00,QuikTrip,39,debit,Gas & Fuel,Platinum Card,2018-04
2018-04-29 00:00:00,Grocery Store,51.05,debit,Groceries,Platinum Card,2018-04
2018-04-29 00:00:00,Hardware Store,68.47,debit,Home Improvement,Platinum Card,2018-04
2018-04-30 00:00:00,Grocery Store,5.09,debit,Groceries,Platinum Card,2018-04
2018-05-01 00:00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-05
2018-05-02 00:00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-05
2018-05-03 00:00:00,Amazon,49.72,debit,Shopping,Platinum Card,2018-05
2018-05-04 00:00:00,Grocery Store,42.23,debit,Groceries,Platinum Card,2018-05
2018-05-04 00:00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-05
2018-05-05 00:00:00,Bojangles,7.27,debit,Fast Food,Platinum Card,2018-05
2018-05-05 00:00:00,Pizza Place,20.52,debit,Fast Food,Platinum Card,2018-05
2018-05-06 00:00:00,Hardware Store,22.37,debit,Home Improvement,Platinum Card,2018-05
2018-05-06 00:00:00,Amazon,117.69,debit,Shopping,Platinum Card,2018-05
2018-05-09 00:00:00,Credit Card Payment,601.4,credit,Credit Card Payment,Platinum Card,2018-05
2018-05-09 00:00:00,Credit Card Payment,601.4,debit,Credit Card Payment,Checking,2018-05
2018-05-09 00:00:00,Spotify,10.69,debit,Music,Platinum Card,2018-05
2018-05-09 00:00:00,Gas Company,30,debit,Utilities,Checking,2018-05
2018-05-10 00:00:00,Phone Company,111.18,debit,Mobile Phone,Checking,2018-05
2018-05-11 00:00:00,Grocery Store,57.32,debit,Groceries,Platinum Card,2018-05
2018-05-11 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-05
2018-05-11 00:00:00,Mike's Construction Co.,8000,debit,Home Improvement,Checking,2018-05
2018-05-12 00:00:00,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card,2018-05
2018-05-12 00:00:00,Shell,33.3,debit,Gas & Fuel,Platinum Card,2018-05
2018-05-12 00:00:00,Fancy Restaurant,78,debit,Restaurants,Platinum Card,2018-05
2018-05-14 00:00:00,Grocery Store,67.63,debit,Groceries,Silver Card,2018-05
2018-05-15 00:00:00,Power Company,60,debit,Utilities,Checking,2018-05
2018-05-17 00:00:00,Barbershop,29,debit,Haircut,Silver Card,2018-05
2018-05-17 00:00:00,City Water Charges,35,debit,Utilities,Checking,2018-05
2018-05-18 00:00:00,State Farm,75,debit,Auto Insurance,Checking,2018-05
2018-05-18 00:00:00,Amazon,6.41,debit,Shopping,Platinum Card,2018-05
2018-05-19 00:00:00,Credit Card Payment,207.08,credit,Credit Card Payment,Platinum Card,2018-05
2018-05-19 00:00:00,Grocery Store,31,debit,Groceries,Silver Card,2018-05
2018-05-19 00:00:00,Greek Restaurant,23.26,debit,Restaurants,Silver Card,2018-05
2018-05-21 00:00:00,Credit Card Payment,283.07,credit,Credit Card Payment,Silver Card,2018-05
2018-05-21 00:00:00,Thai Restaurant,26.04,debit,Restaurants,Silver Card,2018-05
2018-05-21 00:00:00,Amazon,32.5,debit,Shopping,Platinum Card,2018-05
2018-05-22 00:00:00,Credit Card Payment,283.07,debit,Credit Card Payment,Checking,2018-05
2018-05-24 00:00:00,BP,39.44,debit,Gas & Fuel,Silver Card,2018-05
2018-05-25 00:00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-05
2018-05-25 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-05
2018-05-28 00:00:00,Movie Theater,9.62,debit,Entertainment,Silver Card,2018-05
2018-05-28 00:00:00,Grocery Store,91.03,debit,Groceries,Silver Card,2018-05
2018-05-29 00:00:00,Movie Theater,20,debit,Movies & Dvds,Silver Card,2018-05
2018-05-29 00:00:00,Movie Theater,6.25,debit,Movies & Dvds,Silver Card,2018-05
2018-06-01 00:00:00,BP,38.63,debit,Gas & Fuel,Platinum Card,2018-06
2018-06-01 00:00:00,Grocery Store,6.11,debit,Groceries,Platinum Card,2018-06
2018-06-01 00:00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-06
2018-06-02 00:00:00,Credit Card Payment,235.18,credit,Credit Card Payment,Silver Card,2018-06
2018-06-02 00:00:00,Credit Card Payment,466.36,credit,Credit Card Payment,Platinum Card,2018-06
2018-06-03 00:00:00,Italian Restaurant,65.81,debit,Restaurants,Platinum Card,2018-06
2018-06-04 00:00:00,Credit Card Payment,235.18,debit,Credit Card Payment,Checking,2018-06
2018-06-04 00:00:00,Grocery Store,24.12,debit,Groceries,Platinum Card,2018-06
2018-06-04 00:00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-06
2018-06-04 00:00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-06
2018-06-06 00:00:00,Starbucks,4,debit,Coffee Shops,Platinum Card,2018-06
2018-06-08 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-06
2018-06-08 00:00:00,Gas Company,30,debit,Utilities,Checking,2018-06
2018-06-09 00:00:00,Chick-Fil-A,16.18,debit,Fast Food,Platinum Card,2018-06
2018-06-09 00:00:00,Grocery Store,9.56,debit,Groceries,Platinum Card,2018-06
2018-06-09 00:00:00,Spotify,10.69,debit,Music,Platinum Card,2018-06
2018-06-10 00:00:00,Grocery Store,46.01,debit,Groceries,Platinum Card,2018-06
2018-06-12 00:00:00,Grocery Store,12.55,debit,Groceries,Platinum Card,2018-06
2018-06-12 00:00:00,Phone Company,89.46,debit,Mobile Phone,Checking,2018-06
2018-06-14 00:00:00,Credit Card Payment,283.44,credit,Credit Card Payment,Platinum Card,2018-06
2018-06-14 00:00:00,Credit Card Payment,283.44,debit,Credit Card Payment,Checking,2018-06
2018-06-14 00:00:00,Grocery Store,7.02,debit,Groceries,Platinum Card,2018-06
2018-06-15 00:00:00,Power Company,60,debit,Utilities,Checking,2018-06
2018-06-16 00:00:00,Starbucks,3,debit,Coffee Shops,Platinum Card,2018-06
2018-06-16 00:00:00,Pizza Place,22.66,debit,Fast Food,Platinum Card,2018-06
2018-06-16 00:00:00,Grocery Store,13.9,debit,Groceries,Platinum Card,2018-06
2018-06-18 00:00:00,City Water Charges,35,debit,Utilities,Checking,2018-06
2018-06-19 00:00:00,Shell,38.52,debit,Gas & Fuel,Platinum Card,2018-06
2018-06-19 00:00:00,Grocery Store,2.69,debit,Groceries,Platinum Card,2018-06
2018-06-20 00:00:00,State Farm,75,debit,Auto Insurance,Checking,2018-06
2018-06-20 00:00:00,Credit Card Payment,89.45,credit,Credit Card Payment,Silver Card,2018-06
2018-06-20 00:00:00,Barbershop,30,debit,Haircut,Silver Card,2018-06
2018-06-21 00:00:00,Credit Card Payment,89.45,debit,Credit Card Payment,Checking,2018-06
2018-06-22 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-06
2018-06-23 00:00:00,Brunch Restaurant,8.5,debit,Restaurants,Silver Card,2018-06
2018-06-23 00:00:00,Amazon,74.97,debit,Shopping,Platinum Card,2018-06
2018-06-25 00:00:00,Credit Card Payment,942.76,credit,Credit Card Payment,Platinum Card,2018-06
2018-06-25 00:00:00,Credit Card Payment,942.76,debit,Credit Card Payment,Checking,2018-06
2018-06-25 00:00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-06
2018-06-26 00:00:00,Grocery Store,9.62,debit,Groceries,Silver Card,2018-06
2018-06-27 00:00:00,Starbucks,3.5,debit,Coffee Shops,Silver Card,2018-06
2018-06-27 00:00:00,Pizza Place,22.66,debit,Fast Food,Platinum Card,2018-06
2018-06-28 00:00:00,Grocery Store,7.57,debit,Groceries,Silver Card,2018-06
2018-07-01 00:00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-07
2018-07-02 00:00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-07
2018-07-02 00:00:00,Movie Theater,25,debit,Movies & Dvds,Silver Card,2018-07
2018-07-02 00:00:00,American Tavern,36.44,debit,Restaurants,Silver Card,2018-07
2018-07-04 00:00:00,BP,34.48,debit,Gas & Fuel,Silver Card,2018-07
2018-07-04 00:00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-07
2018-07-05 00:00:00,Grocery Store,44.25,debit,Groceries,Silver Card,2018-07
2018-07-05 00:00:00,Amazon,212.32,debit,Shopping,Platinum Card,2018-07
2018-07-06 00:00:00,Amazon Video,6.41,debit,Movies & Dvds,Platinum Card,2018-07
2018-07-06 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-07
2018-07-08 00:00:00,Credit Card Payment,259.87,credit,Credit Card Payment,Platinum Card,2018-07
2018-07-09 00:00:00,Credit Card Payment,242.16,credit,Credit Card Payment,Silver Card,2018-07
2018-07-09 00:00:00,Credit Card Payment,259.87,debit,Credit Card Payment,Checking,2018-07
2018-07-09 00:00:00,Spotify,10.69,debit,Music,Platinum Card,2018-07
2018-07-10 00:00:00,Credit Card Payment,242.16,debit,Credit Card Payment,Checking,2018-07
2018-07-10 00:00:00,Grocery Store,5.39,debit,Groceries,Silver Card,2018-07
2018-07-10 00:00:00,Gas Company,30,debit,Utilities,Checking,2018-07
2018-07-11 00:00:00,Phone Company,89.46,debit,Mobile Phone,Checking,2018-07
2018-07-14 00:00:00,Go Mart,33.51,debit,Gas & Fuel,Silver Card,2018-07
2018-07-15 00:00:00,Circle K,36.24,debit,Gas & Fuel,Platinum Card,2018-07
2018-07-17 00:00:00,Wendy's,15.23,debit,Fast Food,Silver Card,2018-07
2018-07-17 00:00:00,City Water Charges,35,debit,Utilities,Checking,2018-07
2018-07-17 00:00:00,Power Company,60,debit,Utilities,Checking,2018-07
2018-07-18 00:00:00,Irish Restaurant,28.54,debit,Alcohol & Bars,Platinum Card,2018-07
2018-07-18 00:00:00,State Farm,75,debit,Auto Insurance,Checking,2018-07
2018-07-20 00:00:00,Credit Card Payment,61.43,credit,Credit Card Payment,Silver Card,2018-07
2018-07-20 00:00:00,Credit Card Payment,102.88,credit,Credit Card Payment,Platinum Card,2018-07
2018-07-20 00:00:00,Credit Card Payment,102.88,debit,Credit Card Payment,Checking,2018-07
2018-07-20 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-07
2018-07-21 00:00:00,Grocery Store,28.93,debit,Groceries,Platinum Card,2018-07
2018-07-21 00:00:00,Barbershop,30,debit,Haircut,Platinum Card,2018-07
2018-07-23 00:00:00,Credit Card Payment,61.43,debit,Credit Card Payment,Checking,2018-07
2018-07-23 00:00:00,Starbucks,9.58,debit,Fast Food,Platinum Card,2018-07
2018-07-24 00:00:00,American Tavern,26.59,debit,Restaurants,Platinum Card,2018-07
2018-07-25 00:00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-07
2018-07-26 00:00:00,Conoco,33.67,debit,Gas & Fuel,Silver Card,2018-07
2018-07-28 00:00:00,Grocery Store,7.61,debit,Groceries,Silver Card,2018-07
2018-07-30 00:00:00,American Tavern,34.38,debit,Restaurants,Silver Card,2018-07
2018-07-31 00:00:00,Brewing Company,6.6,debit,Alcohol & Bars,Silver Card,2018-07
2018-08-01 00:00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-08
2018-08-02 00:00:00,Credit Card Payment,816.27,credit,Credit Card Payment,Platinum Card,2018-08
2018-08-02 00:00:00,Shell,40.44,debit,Gas & Fuel,Silver Card,2018-08
2018-08-02 00:00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-08
2018-08-03 00:00:00,Grocery Store,6.27,debit,Groceries,Silver Card,2018-08
2018-08-03 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-08
2018-08-04 00:00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-08
2018-08-06 00:00:00,Amazon,76.47,debit,Shopping,Platinum Card,2018-08
2018-08-09 00:00:00,Spotify,10.69,debit,Music,Platinum Card,2018-08
2018-08-09 00:00:00,Gas Company,30,debit,Utilities,Checking,2018-08
2018-08-10 00:00:00,Phone Company,89.4,debit,Mobile Phone,Checking,2018-08
2018-08-11 00:00:00,Chick-Fil-A,13.67,debit,Fast Food,Platinum Card,2018-08
2018-08-11 00:00:00,Valero,33.66,debit,Gas & Fuel,Platinum Card,2018-08
2018-08-15 00:00:00,Credit Card Payment,269.56,credit,Credit Card Payment,Silver Card,2018-08
2018-08-15 00:00:00,Credit Card Payment,159.38,credit,Credit Card Payment,Platinum Card,2018-08
2018-08-15 00:00:00,Shell,41.07,debit,Gas & Fuel,Platinum Card,2018-08
2018-08-15 00:00:00,Grocery Store,5.64,debit,Groceries,Platinum Card,2018-08
2018-08-15 00:00:00,Power Company,60,debit,Utilities,Checking,2018-08
2018-08-16 00:00:00,Credit Card Payment,269.56,debit,Credit Card Payment,Checking,2018-08
2018-08-16 00:00:00,City Water Charges,35,debit,Utilities,Checking,2018-08
2018-08-17 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-08
2018-08-17 00:00:00,Amazon,14.98,debit,Shopping,Platinum Card,2018-08
2018-08-18 00:00:00,Amazon,23.47,debit,Shopping,Platinum Card,2018-08
2018-08-20 00:00:00,State Farm,75,debit,Auto Insurance,Checking,2018-08
2018-08-21 00:00:00,Credit Card Payment,34.18,credit,Credit Card Payment,Silver Card,2018-08
2018-08-21 00:00:00,Credit Card Payment,99.76,credit,Credit Card Payment,Platinum Card,2018-08
2018-08-21 00:00:00,Credit Card Payment,99.76,debit,Credit Card Payment,Checking,2018-08
2018-08-22 00:00:00,Credit Card Payment,34.18,debit,Credit Card Payment,Checking,2018-08
2018-08-24 00:00:00,American Tavern,42.31,debit,Restaurants,Platinum Card,2018-08
2018-08-27 00:00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-08
2018-08-30 00:00:00,Shell,35.65,debit,Gas & Fuel,Platinum Card,2018-08
2018-08-31 00:00:00,Grocery Store,11.64,debit,Groceries,Platinum Card,2018-08
2018-08-31 00:00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-08
2018-09-01 00:00:00,Brewing Company,47.4,debit,Alcohol & Bars,Platinum Card,2018-09
2018-09-01 00:00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-09
